4276,62.6%
4280,62.7%
4282,62.9%
4287,63.1%
4291,63.2%
4294,63.3%
4295,63.4%
4305,63.6%
4310,63.7%
4322,63.8%
4325,63.9%
4327,64.1%
4329,64.2%
4331,64.1%
4333,64.3%
4343,64.4%
4356,64.5%
4359,64.7%
4368,64.8%
4371,64.7%
4373,64.8%
4377,64.9%
4381,64.8%
4383,64.9%
4384,64.8%
4385,64.9%
4392,65.0%
4401,65.1%
4415,65.2%
4432,65.3%
4436,65.4%
4438,65.5%
4441,65.6%
4446,65.7%
4448,65.8%
4452,65.9%
4453,65.8%
4454,65.9%
4455,66.0%
4458,66.1%
4465,66.2%
4468,66.3%
4485,66.4%
4486,66.5%
4487,66.4%
4489,66.5%
4495,66.6%
4497,66.7%
4517,66.8%
4524,67.0%
4525,67.1%
4531,67.3%
4543,67.4%
4551,67.5%
4553,67.6%
4554,67.5%
4555,67.6%
4557,67.7%
4559,67.8%
4570,67.9%
4575,68.0%
4576,67.9%
4578,68.0%
4583,68.2%
4586,68.3%
4591,68.4%
4593,68.3%
4594,68.4%
4597,68.5%
4599,68.4%
4600,68.5%
4607,68.6%
4609,68.8%
4610,68.9%
4637,69.0%
4647,69.2%
4648,69.1%
4650,69.2%
4652,69.3%
4653,69.4%
4658,69.5%
4663,69.7%
4666,69.9%
4672,70.0%
4682,70.1%
4698,70.2%
4710,70.3%
4711,70.2%
4716,70.3%
4721,70.5%
4723,70.4%
4725,70.5%
4727,70.6%
4729,70.9%
4736,71.0%
4741,71.1%
4742,71.2%
4748,71.3%
4750,71.4%
4752,71.5%
4753,71.4%
4754,71.5%
4759,71.7%
4764,71.8%
4771,71.9%
4778,72.0%
4780,72.1%
4786,72.3%
4789,72.5%
4798,72.7%
4799,72.6%
4805,72.7%
4808,72.8%
4810,73.0%
4811,73.1%
4815,73.2%
4816,73.3%
4822,73.4%
4827,73.5%
4828,73.6%
4846,73.7%
4853,73.8%
4861,73.9%
4865,74.0%
4871,74.1%
4874,74.2%
4878,74.3%
4883,74.2%
4886,74.3%
4901,74.4%
4905,74.5%
4907,74.4%
4909,74.5%
4913,74.6%
4917,74.7%
4919,74.8%
4922,74.9%
4924,75.1%
4936,75.3%
4939,75.2%
4942,75.3%
4943,75.4%
4944,75.3%
4954,75.4%
4964,75.3%
4967,75.4%
4971,75.5%
4972,75.6%
4978,75.7%
4980,75.8%
4982,76.0%
4984,75.9%
4986,76.1%
4998,76.2%
4999,76.1%
5001,76.2%
5012,76.3%
5017,76.4%
5018,76.5%
5021,76.4%
5024,76.5%
5028,76.7%
5032,76.8%
5034,77.0%
5037,77.1%
5042,77.2%
5046,77.1%
5047,77.2%
5049,77.3%
5053,77.4%
5054,77.5%
5057,77.6%
5063,77.7%
5065,77.8%
5068,77.9%
5075,78.0%
5080,78.1%
5081,78.2%
5083,78.1%
5084,78.2%
